id,is_multi_variants,taxes_id,supplier_taxes_id
product.template_C367944,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367959,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367965,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367987,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C367990,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C369173,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C369174,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C369178,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378083,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378084,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378127,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378274,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378285,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378286,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378579,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378614,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378693,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378733,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378766,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378804,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378806,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378812,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378818,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378824,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378906,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C378912,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390227,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390228,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390309,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390320,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390483,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390484,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390485,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C390874,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C425154,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C425155,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C425278,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C425641,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C431729,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C431730,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460239,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460241,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460243,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460341,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460344,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460633,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460637,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A460846,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461239,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461241,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461341,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461405,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461409,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461430,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461431,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A461432,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A462053,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A462101,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A462102,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A462165,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A463340,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A463633,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A464339,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A464340,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A464341,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A464700,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A465372,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_A465515,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474028,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474029,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474030,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474031,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474033,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474034,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M474035,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476038,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476039,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476040,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476041,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476042,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476112,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_M476440,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C484012,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C484019,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C484121,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_C484122,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G498033,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G499220,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G499317,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G499318,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G499793,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_G499837,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706002,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
product.template_S706004,TRUE,VAT-OUT-21-L,VAT-IN-V81-21
