id,name,city,bic,country
res.bank_KREDBEBB085,KBC BANK NV,GENT,KREDBEBB085,BE
res.bank_KREDBEBB460,KBC BANK NV,TIENEN,KREDBEBB460,BE
res.bank_KBSEBE22CBL,KBC SECURITIES N.V.,ANTWERPEN,KBSEBE22CBL,BE
res.bank_KBSEBE22,KBC SECURITIES N.V.,BRUSSELS,KBSEBE22,BE
res.bank_KBSEBE22882,KBC SECURITIES N.V.,BRUSSELS,KBSEBE22882,BE
res.bank_KEYTBEBB,KEYTRADE BANK SA/NV,BRUSSELS,KEYTBEBB,BE
res.bank_LABEBEBB,LELEUX ASSOCIATED BROKERS,BRUSSELS,LABEBEBB,BE
res.bank_LOCYBEBBNDP,LOMBARD ODIER (EUROPE) S.A.,BRUSSELS,LOCYBEBBNDP,BE
res.bank_LOCYBEBB,LOMBARD ODIER (EUROPE) S.A.,BRUSSELS,LOCYBEBB,BE
res.bank_MBWMBEBB,MEDIRECT BANK,BRUSSELS,MBWMBEBB,BE
res.bank_MHCBBEBB,MIZUHO BANK NEDERLAND N.V. BRUSSELS BRANCH,BRUSSELS,MHCBBEBB,BE
res.bank_BMTSBEBB,MTS ASSOCIATED MARKETS,BRUSSELS,BMTSBEBB,BE
res.bank_NEXABEBB,NEXANS SERVICES SA,BRUSSELS,NEXABEBB,BE
res.bank_IKEABEBB,NV IKEA SERVICE CENTRE SA,ZAVENTEM,IKEABEBB,BE
res.bank_OBKBBE99,OBK BANK,GENT,OBKBBE99,BE
res.bank_OBKBBE99MNP,OBK BANK,GENT,OBKBBE99MNP,BE
res.bank_OMEGBE9A,OMEGA PHARMAÊCAPITALÊNV,NAZARETH,OMEGBE9A,BE
res.bank_ETHIBEBB,OPTIMABANK NV,BRUSSELS,ETHIBEBB,BE
res.bank_ETHIBEBBRTG,OPTIMABANK NV,BRUSSELS,ETHIBEBBRTG,BE
res.bank_PECSBEBB009,PETERCAM S.A.,BRUSSELS,PECSBEBB009,BE
res.bank_PECSBEBB,PETERCAM S.A.,BRUSSELS,PECSBEBB,BE
res.bank_PUILBEBB,PUILAETCO DEWAAY PRIVATE BANKERS,BRUSSELS,PUILBEBB,BE
res.bank_RABOBE22,RABOBANK INTERNATIONAL ANTWERP BRANCH,ANTWERPEN,RABOBE22,BE
res.bank_RABOBE23,RABOBANK INTERNATIONAL ANTWERP BRANCH CORPORATE BANK,BERCHEM,RABOBE23,BE
res.bank_DXFSBEBBFAD,RBC INVESTOR SERVICES BELGIUM,BRUSSELS,DXFSBEBBFAD,BE
res.bank_DXFSBEBBSHS,RBC INVESTOR SERVICES BELGIUM,BRUSSELS,DXFSBEBBSHS,BE
res.bank_DXFSBEBB,RBC INVESTOR SERVICES BELGIUM,BRUSSELS,DXFSBEBB,BE
res.bank_HBKABE22,RECORD BANK NV,GENT,HBKABE22,BE
res.bank_HBKABE22TA2,RECORD BANK NV,GENT,HBKABE22TA2,BE
res.bank_RCBPBEBB,ROTHSCHILD BELGIQUE,BRUSSELS,RCBPBEBB,BE
res.bank_RPINBEBB,ROYAL PARK INVESTMENTS,BRUSSELS,RPINBEBB,BE
res.bank_SWLIBEBB,S.W.I.F.T. HEADQUARTERS,LA HULPE,SWLIBEBB,BE
res.bank_SWTDBEBB,S.W.I.F.T. HEADQUARTERS,LA HULPE,SWTDBEBB,BE
res.bank_BNPABEBS,SAGIP S.A. (S.A. DE GESTION DINVESTISSEMENT ET DE PARTICIPATION),BRUSSELS,BNPABEBS,BE
res.bank_BSCHBEBB,SANTANDER BENELUX SA,BRUSSELS,BSCHBEBB,BE
